METH	UNIT	M_DESCR
303	State	Score the damage to the leaves (1=no damage, .., 9=much damage, leaves are puckered, cracked and smaller)
304	g/m2	Weigh the seeds with a moisture content between 5.3 and 7.2%
306	Perc	At harvest, determined by drying 24 hours at 105°C
309	State	(1=no lodging, 7= more than 5% of the plants are lodged, 9= stems break halfway up, 79=comb. of 7 and 9, x-y=replicates)
311	Num	Count the days from sowing to 5% of plants start flowering
312	Num	Count the days from sowing to 95% of plants are flowering
314	Num	Count the days between sowing and the first brown seeds
316	cm	Measure the longest stem per plant, average of 10 plants
317	State	(1=creeping, 9=erect)
318	State	Score after ripening (1=all flowers shatter, 9=no flowers shatter)
320	g/m2	-
322	Stand	Combination of 2 old IVT experiments.
284	State	Percentage of leaf infected, inoculated with an isolate of Clement (0=0%,1=0-1%,..,8=-80%,9=-100%)R
285	State	Presence of anthocyanin in main stem (0=nothing, 1=a little, 3=intermediair, 5=much)
287	Num	Count the days from 1/1 until 50% of the plants have emerged
289	cm	Measured about 1 month after emergence, average of 10 plants
290	Stand	Scored about 1 month after emergence (1=a little, 9=very much)
291	State	(1=white,2=black,3=variegated)
293	Num	Vernalization. Count days from planting to corolla 1st flower visible (1=<41. 2=41-60. 3=61-80. ... 8=161-180. 9=>180)
295	Num	No treatment. Count days from planting to 50% of plants harvestable (1=<41. 2=41-60. 3=61-80. ... 8=161-180. 9=>180)
296	Num	Vernalization. Count days from planting to 50% of plants harvestable (1=<41. 2=41-60. 3=61-80. ... 8=161-180. 9=>180)
308	Num	Count the days between sowing and harvesting
298	Num	Count days after sowing until sporulation is visible on the head
299	Num	Count the number of days that the leaves of adjacent rows overlap more than 10cm.
300	State	(1=straight up, .., 5=completely hanging, xyz=combination of x y and z, x-y=intermediate between x and y)
301	State	(1=convex, 3=flat, 5=concave, 7=trumpet, combinations possible)R
263	Stand	Outer leaves, harvest maturity (3=few, 5=medium, 7=many)
275	Perc	Reducing ability, after hydrolysis, using the Luff-Schoorl test liquid
265	State	Outer leaf (1=absent, glossy, 3=low, 5=intermediate, 7=high, glaucous)
266	State	(1=yellow green, 2=light green, 3=medium green, 4=dark green, 5=blue green, 6=light violet, 7=med. viol., 8=dark violet)
269	State	At harvest maturity (1=uncovered, 2=semi covered, 3=covered)R
270	Stand	Fraction of the head height. (3=1/4, 4=1/3, 5=1/2, 6=2/3, 7=3/4)
271	cm	Measure at the base
272	Stand	Outer leaves, at harvest maturity
274	State	Score the infection type using the scale described by McNeal et al (Agric. Res. Serv. 34-121, 1971)R
276	Perc	Percentage after hydrolysis, scored ezymatically with a YSImeter
279	Num	Calculated as the quotient sugar content and dry matter content
281	State	Inoculated with an isolate of Felix, score the infection type using the scale described by XSVPX  R
253	State	(1=narrow elliptical, 2= broad elliptical to circular)
244	State	(1=not present,9=present)
245	State	At harvest maturity (0=no anthocyanin, 1=localised, 2=entire)
246	State	At harvest maturity (0=no anthocyanin, 1=diffused, 2=in spots, 3=diffused and in spots)
248	State	At harvest maturity (1= not flabellate, 2= flabellate)
250	State	At harvest maturity, in longitudinal section(0=no head, 1=elliptic, 2=broad el., 3=circular, 4=transverse el.)R
252	Stand	At harvest maturity (3=heterogeneous, 5=moderate homogeneous, 7=homogeneous)
254	State	(1= yellowish green, 2=light green, 3=medium green, 4=grey green, 5=dark green, 6=blue green, 7=brown red)
255	State	At harvest maturity (1=0, 3=1/3, 5=1/2, 7=2/3)
256	Stand	At harvest maturity
259	State	(1=yellow/white, 3=green, 5=red/purple, 7=brown, 9=blue/black, a=not(1,5,9), b=not(1,3,5,7,9))
260	Stand	(3=low,7=high)
262	State	Outer leaves, harvest maturity (1=horizontal, 5=semi erect, 9=erect)
218	State	(1=angular, 9=round)
219	kg/ha	Seed yield
222	State	(1=self fertilisation, 5=intermediate, 9=cross fertilisation)
223	State	(1=white,2=black)
225	Num	Count the days from sowing to 50% of plants main stems are completely elongated
226	cm	Measure a few plants from the ground to the top, after flowering
227	cm	Measure a few plants from the ground to the first flowers
228	Num	Number of branches of main stem
230	Num	Maximum number
232	State	(1=white, 5=mixed, 9=dotted)
233	Num	Count the days from 25/5 to 50% of plants in flower
235	mm	Measure at 2nd fertile node, without beak, average of 5 plants (V=variable)
237	State	At least half a year after harvest (1=white, 2=brown, 3=violet, 4=black, 5=green)
239	Num	Count and estimate the average number using a few plants (V=variable)
241	cm	Average of 5 plants (V=variable)
196	State	Observe at harvest (1=head green, 3=head yellow, 5=bracteoles yellow, 7=folliage dying/dead)
209	State	(1=100%, 3=75%, 5=50%, 7=25%, 9=0%)
200	State	(1=flat,2=concave,3=convex,4=flat with edges curled back,5=irregular,6=trumpet)
202	Perc	-
203	Perc	Extraction and gaschrom. determination of fatty acid composition of seed oils (RIKILT RAPP.87-17)
205	State	Development 6-8 weeks after sowing (1=very good,3=good,5=medium,7=poor,9=very poor)
207	Num	Days after 1/5 when 50 % of plants start flowering
220	Perc	Total percentage fatty acids at 9% seed humidity
211	cm	Maximum length measured from groundlevel during ripening, average of 5 plants
213	Num	Total number of seedpots per (average) plant at ripening date
214	cm	Distance ground to lowest pod, average of 5 plants
215	Stand	(1=none, 3=some, 5=medium, 7=severe, 9=(almost) total lodging)
216	State	Disclosure pods 7 days after ripening date (1=0%, 3=25%, 5=50%, 7=75%, 9=100%)
217	Num	Days after 1/9
172	Stand	(0=glabrous,1=very low,9=very high)
173	State	(1=entire fertile, 2=semi fertile, 3=completly male sterile, white black or brown anthers containing no pollen)
174	mm	Measure at last ramification, between the nerves, average of 4 measurements, 1 bract per plant
175	State	Estimated yield ton/hectare using less than 11 plants (1=<10, 2=10-15, .., 8=40-45, 9=>45)
187	mm	Measured arount harvest, average of five pods
177	Perc	Juice, saccharose scale of the refractometer
178	State	Main color mature leaves (1=yellow,2=green)
179	State	Main color of petiole and leaf ribs (1=white, 2=yellow/light green, 3=green, 4=pink, 5=red)
181	cm	Measure vegetative plant
182	g	Weigh 500 dry seeds and multiply
183	cm	Measurement, including spike, excluding awns
185	mm	-
186	Perc	Standardized ISTA method, using the seeds of one CGN germinability bag, usually 200 but sometimes 100 or 50 seeds, no dormancy breaking methods applied
188	Num	Count the days after sowing until flower induction is visible by 50% of the plants
190	Num	Estimate angle of head with stem (degrees, 0=straight, 180=totally hanging, 45-60 gives the range)
192	cm	Average of 5 plants
193	State	(1=not infected, .., 9=heavily infected)
195	Num	Days after sowing
151	mm	Measure the middle of the ear
153	cm	Measure a few plants from the ground to the node bearing the upper ear, after flowering
165	cm	Plant height of flowering plants
156	mm	Measure largest width of just opened flowers, for lily types measure the width of lower part
157	State	(0=no pollen, G=yellow, P=purple)
160	State	(P=purple,W=white,Y=yellow)
161	Num	Estimate the number of main stems at the root apex
162	cm	Average bractlength (basic-top) at start of seed set. Sample size is 4 bracts, measured at last ramification
164	mm	Average thickness of leaf measured between the veins, sample size is 4
166	State	Estimate the cover of the leaf. (0=0%, 1=2%, 2=5%, 4=10%, 7=25%, 9=60%)
168	Num	Count the days from 1/6 when 10% of plants start to flower
170	State	Main color of stems (1=white, 2=yellow, 3=green)
128	State	Flowering plant (1=erect, 2=erect and procumbent, 3=procumbent, 4=erect and prostate, 5=prostrate)
129	State	(1=annual, 2=biennial, 3=perennial)
131	cm	Flowering plants
133	State	(1=narrow elliptic, 2=elliptic, 3=circular, 4=broad elliptic, 5=narrow oblong, 6=narrow obtriangular) R
134	State	(1=single root,2=fanged root,3=very sprangled root)
136	State	Outer root (1=white,2=yellow,3=orange,4=red,5=dark red)
138	State	(0=no betacyanin, 1=striped, 2=entire red)
140	State	(1=dark red,2=brownred,3=red,4=stone red,5=pinkred,6=pink,7=light pink,8=green,9=light gr.,10=white)
141	Num	-
154	g	Weigh more than 1000 dry seeds
145	State	(1=amylaceous/floury,2=semi floury,3=dent,4=semi dent,5=semi flint,6=flint,7=pop,8=sweet,9=opaque)
147	State	(1=white,2=pale yellow,3=yellow,4=orange,5=orange/red,6=red,7=brownish,8=purple,9=blueblack,0=other)
149	State	(1=conical,5=slightly conical,9=cylindrical)
121	Stand	(1=short,9=long)
111	mm	At broadest point, excluding awns
112	Num	-
114	Stand	(3=endosperm mealy,not vitreous, 5=endosperm partly vitreous, 7=endosperm vitreous)
115	State	(1=no keel, 3=narrowly winged upper 1/2, 5=winged <.2 mm., 7=<1 mm. wide wings, 9=wings wider than 1mm.)
117	Stand	Bundle at base of spikelet.(1=no, 3=sparsly short, 5=mostly <2 mm, 7=<3 mm, 9=very dense,>3 mm long)
119	State	Natural inoculation.(0=no infection, 1=little infection (<10%), 5=10-40%, 9=much infection (>40%))
132	State	('+'=thickened, '-'=not thickened)
122	Stand	(1=no, 5=little, 9=strong)
124	State	Just opened flowers.(The Royal Hort. Soc. Color Code, followed by a coded addition)R
126	Num	Count the number of nematodes after artificial inoculation. (Lubberts 1977, SVP berichten 1977 nr 5)
127	Num	Fraction of plants with <10 nematodes, artficial inoculation. (Lubberts 1977, SVP berichten 77 nr 5)
89	Num	(Number always < 10, standard notation to indicate variation)
90	State	"(a-b=shape""a"" tending to shape ""b"", a/b=inside ""a"", outside ""b"")R"
91	mm	Measure at the widest point
92	State	"(a-b=shape""a"" tending to shape ""b"", a/b=inside ""a"", outside ""b"")R"
93	Stand	(1=none or very little, .., 9=very clear)
94	mm	Measure first leaf, largest width
95	mm	Measure first leaf, from the point where leaf and stem disjoin
96	Stand	(3=slightly erect, 5=45 degrees, 7=steeply erect)
97	mm	Measure from to ground to the best developed flower
98	mm	"Measure just below the thickening ""below"" the first leaf (might be under the ground)"
110	mm	Measure the larger one
100	State	Before opening.(1=double, 2=ball, 3=oval, 4=egg, 5=triangle, 6=square, 7=rectangle, 8=lily, 9=parrot)R
102	State	(3=points, small spots, 5=broken line, .., 9=not or only nearly broken line)
104	State	(0=no margin, Xa-b= X can be W for white or Y yellow, a and b indicate the range of the margin width)
106	mm	Measure when the two rows are laterally oriented, excluding the awns, average of 10 spikes
108	Stand	At maturity.(1=spike axis tough or flexible,3,5,7,9=axis shattering spontaneously)R
71	State	At maturity (1=no, 2=whole spike, 3=partial spike, 4=single spikelet, wedge shape, 5=single spikelet, barrel shape)R
73	State	(1=no, 2=uppermost spikelet only, 3=upper part spike, 4=all/most, longer to apex, 5=all/most, shorter, 6=all)R
76	Num	Count total number on the 2 glumes on the lowermost fertile spikelet, average of 10
88	mm	Measure the just opened flowers
79	Stand	Score while threshing.(1=grain fused to lemma and palea, 9=grain very easily threshed)
81	Stand	Score lower leaf, at spike emergence to anthesis
80	Stand	Score flagleaf
84	State	(1=tapering, 2=parallel, 3=fusiform, 4=semi-clavate, 5=clavate)
85	State	Score at full maturity.(1=awns parallel, 5=awns~45 degrees, 9=awns~90 degrees)
86	mm	Measurement, excluding awns, average of 10 spikes
99	mm	"Measure from the ground to the thickening ""below"" the first leaf.(0=thickening under the ground)"
52	cm	Distance (maximum) from tuber to main stem (tuber not included), average of 3 plants
53	State	Observe during harvest (1=very lose, .., 9=inseparable)
56	State	(1=erect, .., 9=prostrate)
57	Stand	Score the sheath of the flagleaf at spike emergence
58	Stand	Score the lower side of the blade of the flagleaf at spike emergence
59	Stand	Score the neck
62	cm	Average of 10 plants, at post anthesis to maturity
63	Stand	Score the uppermost internode, at post anthesis to spike maturation
65	mm	Excluding rudimentary spikelets and awns, average of 10
77	Num	Count total number on the 2 glumes on the uppermost spikelet, average of 10
68	State	Relative to adjecent rachis internode, upper 1/3 of spike.(spkl/intn: 1=<.5, 3=.5-1, 5=1, 7=1-1.5, 9=>1.5)
26	Gene	Compair names with those in UK list 4/12/85 (Ml..=Ml-.., Ml(41/=Ml-(41/145))R
27	State	(1=yellow/white, 5=red/brown, 9=purple/black, 0=other)
30	State	(3=absent, 5=weak, 7=medium, 9=strong)
31	Stand	(1=no, 5=some, 9=much)
32	Stand	(1=tough, 5=brittle, 9=very brittle)
34	Stand	(1=short(<spike), 5=medium(~spike), 9=long(>spike))
35	State	Soon after flowering (1=parallel, 5=intermediate(~45 degrees), 9=angle of ~90 degrees)
39	Num	Divide length (from stem) and (maximum) width of the leaf on the 6th internode, date: 1/8, average of 3 plants
41	Num	Count the days from 1/7 when 50% of the stolons start to thicken
43	Num	Count the days from 1/7 when 10% of plants start to flower.(999=no flowering)
45	cm	Average of 3 plants
46	Num	Count the days from 1/10 (dates before 1/10 get negative score)
48	kg	Average of 3 plants
11	State	(1=sessile hoods, 3=elevated hoods, 5=awnless or awnleted (<2cm), 7=awned, 9=awned on central rows only)R
1	State	Old seeds (1=colorless, 2=single colored, 3=marbled, 4=dotted, 5=marbled and dotted)
3	State	Old seeds, if necessary a few were smashed (1=green, 9=cream)
4	g	Old seeds, at least 100 seeds were weighed
5	State	(1=not present, 9=present)
6	State	(1=white, 2=greenish, 3=pink, 4=dark purple, 5=red, 6=deviant)
7	Num	Count nodes on main stem downwards, including 1st flowering node, not including scale nodes
8	Stand	(3=lax, 7=dense)
9	State	(1=2-rowed, 9=4- or 6-rowed)
10	Stand	Measurement, including spike, excluding awns, related to standards
22	Stand	Related to standards
12	State	(1=yellow/white, 5=red/purple, 9=blue/black, 0=other)
13	State	(1=naked, 9=covered)
14	State	(1=rounded, 5=ovoid, 9=elongated)R
15	State	(1=green, 9=red)
16	Num	Count and estimate the average number using a few plants
17	Stand	Measured at 1st internode above 1st flower when 1st pod is half grown or later, related to the population
18	Stand	Measured arount harvest, average of five pods, related to the population
19	Stand	(3=early, 7=late)
20	Stand	-
21	State	(1=winter type, 5=intermediate type, 9=spring type)
33	State	(1=free threshing, 9=no free threshing)
23	State	Infection type (1=O, 3=I, 5=II, 7=III, 9=IV)
25	Gene	Compair names with those in Nordic Gene Bank june 1986 (Ml..=Ml-.., Ml(41/=Ml-(41/145))R
377	Num	Infested soil. Taprootjuice. Elisa test. Extinction values x 100, relative to susceptible check (=100). 's'=susceptible.
379	State	(0=absent, 1=spotted, 2=red vein, 3=entire red)
380	State	Intensity of furrowing (1=regular, 2=intermediate, 3=irregular)
382	Stand	Width of rings (1=very thin, .., 9=very thick)
383	State	(1=very shallow, 3=shallow, 5=medium, 7=deep, 9=very deep)
385	mm	Average of 4 measurements, 1 measurement per plant, most typical leaf was chosen.
387	State	Scored 18/7 (1=rosette,2,3=bolting,4=<10%flower,5=10-50% flower,6= 50-100% flower,7=>90% past flowering)
388	mm	Measure rosette leaves. 1 leaf/plant, 10-30 plants/accession.
389	cm	Measure at stem basis of bolting plant.
391	cm	Mean height of flowering plants when seed stalks cease to grow. 10-30 plants/accession.
393	Stand	Score maximum length at maturity (3=short,5=medium,7=long)
394	Stand	Score maximum width at maturity (3=narrow,5=medium,7=broad)
395	Stand	(1=absent, 3=weak, 5=medium, 7=strong)
397	State	(1=recessed, 3=flat, 5=round, 7=slightly pointed, 9=strongly pointed)
399	State	(1=white, 2=green/white, 3=yellow, 4=red/white)
400	State	(3=deep, 5=flat, 7=outstanding)
402	Stand	(3=long, 5=medium, 7=flat)
403	Stand	(1, 3=widest point close to base, 5, 7=widest point close to top, 9)
404	State	(3=spreading, 5=medium, 7=erect)
406	State	(1=yellow, 2=blue)
407	Stand	(1=very resistant, ..., 9=very susceptible)
409	State	Score at 7th leaf stage. (3=light, 5=medium, 7=dark)
411	State	Score at 7th leaf stage. (3=erect, 5=semi-erect, 7=horizontal)
413	Stand	Score at 7th leaf stage. (3=short, 5=medium, 7=long)
414	Stand	Score at 7th leaf stage. (3=narrow, 5=medium, 7=broad)
416	State	(1=very few female flowers on monoecious plants, 5=50%, 9=nearly always female flowers on monoecious plants)
419	Stand	At bolting time (3=few, 5=medium, 7=many)
420	Perc	Race 1, percentage of resistant plants.
422	Perc	Race 3, percentage of resistant plants.
425	mm	Measured on largest leaf at widest point, at harvest maturity, average of 10 plants.
426	State	Score at harvest maturity (3=cupped, 5=straight, 7=reflexed)
428	mm	Measure at harvest maturity, average of 10 plants.
430	State	Score at harvest maturity (1=pale green, 2=green, 3=dark green, 5=red or purple)
431	micg	Mean weight in micrograms of eight day old aphids per plant.R
433	State	(1=partially resistant, intermediate susceptible, 3=susceptible)R
435	State	Isolate 118 (1=little and small galls at hairy roots, .., 9=strong galls at taproot)R
437	State	Means of 20 plants (1=no or very small reaction around stem, .., 4=plant dead)
438	Perc	Percentage of fresh weight.
440	Perc	Percentage of fresh weight. Measured polarimetric.
442	Num	Infested soil. Taprootjuice. Elisa test. Extinction values.
444	State	Resistance to B. lactucae race NL1 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
445	State	Resistance to B. lactucae race NL2 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
1183	Perc	Seeds germinated in soil, using 200 seeds, in heated greenhouse in spring and counting healthy seedlings
446	State	Resistance to B. lactucae race NL3 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
447	State	Resistance to B. lactucae race NL4 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
448	State	Resistance to B. lactucae race NL5 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
449	State	Resistance to B. lactucae race NL6 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
450	State	Resistance to B. lactucae race NL7 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
451	State	Resistance to B. lactucae race NL10 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
453	State	Resistance to B. lactucae race NL12 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
455	State	Resistance to B. lactucae race NL14 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
457	State	Resistance to B. lactucae race NL16 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
459	State	Resistance to B. lactucae race 27/81(0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
461	State	Resistance to B. lactucae race 2/82 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
463	State	Resistance to B. lactucae race 4/82 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
464	State	(0=complete resistant, ..., 9=very susceptible)
466	State	(2,3,4,5 = 8,6,4,2 days before Sonatine (=6) 7,8,9 = 2,5,8 days after Sonatine)
468	State	Sonatine=3 (1=very little, 3 = little, 5=intermediate, 7=fleshy, 9=very fleshy)
469	State	(0=absent, +=present)
471	State	(1=very short, 3=short, 5=medium, 7=long, 9=very long)
473	State	Determined at natural infection (0=no symptoms, +=symptoms present)
475	State	(R=resistant to race 2.4.5.9.11., S=susceptible)
477	State	(0=no expression, 1=very low, ..., 9=very high expression)
478	State	(0=absent, +=present, ++=severe)
479	g/g/d	Measure slope of growth curve at W=1g.
481	State	(R=partially resistant to Didymella lycopersici, S=susceptible.)
483	State	Mean disease index over 12 plants (0=no symptoms, ..., 5=dead)
485	State	Nerves at bottom of leaves, Bruinsma Wonder=7 (0=glabrous, 3=sparse, 5=intermediate, 7= abundant, 9=very abundant)
488	State	(0=absent, 1=very few, 3=few, 5=intermediate, 7=many, 9=very many prickles)
489	State	(1=very low, 3=low, 5=intermediate, 7=high, 9=very high)
491	State	R=partial resistant (low to medium levels)
492	g	Measure the average weight of a fruit.
493	State	(1=very early, ..., 9=very late)
494	State	(R=resistant, S=susceptible)
496	State	(A=compound, B=potato leaf, C=peruvianum type)
498	Stand	Sonatine=7 (1=very light, 3=light, 5=medium, 7=dark, 9=very dark)
500	Num	Count the number of leafs under the first inflorescence.
501	State	(A=yellow, B=white)
504	Stand	(0=absent, 1=very little, ..., 9=very high)
506	State	(+=present, 0=pale, 1-9=intensity of the green colour of the  immature fruit : 1=very light, 9=very dark)
507	Stand	(0=absent, 1=very few, 3=few, 5=half of the fruit, 7=most fruits, 9=all fruits)
508	Stand	Sonatine=3
510	State	(0=indeterminate, +=determinate)
511	Stand	Sonatine=7
512	Stand	Sonatine=6
515	Ratio	Length/width ratio (1=length equals width, 2=length two times width, etc.)
516	Stand	Score expanded leaf on main stem, Bruinsma Wonder=7
519	Stand	Score the veins on the bottom of the leaf, Bruinsma Wonder=7 (0=glabrous,3=sparse,5=medium,7=abundant,9=very abundant)
520	Stand	Bruinsma Wonder=7
522	State	(A=white, B=light purple, C=purple, D=yellow, E=light green)
523	Stand	Count the number of flowers per node, 9=9 or more
524	Stand	(3=included, 5=same level, 7=exerted as compared with anther lenght)
525	State	(A=blocky, B=conical, C=pepper, D=tomato-like, E=roundish, F=other, G=variable)
526	State	Bruinsma Wonder=5 (1=very flattened, 3=flattened, 5=heigth equals width, 7=oblong, 9=very oblong)
527	Stand	(0=smooth, 3=slightly corrugated, 5=medium, 7=corrugated, 9=very corrugated)
528	State	Bruinsma Wonder=7 (1/9=light/dark green,A=cream,B=yellow,C=orange,D=purple,E=ivory,F=light yellow,a-b=both in one fruit)
529	State	(A=dark red,B=light r,C=orange,D=salmon,E=canary,F=sulphur,G=green,I=brown,J=light orange,K=white,a-b=both in one fruit)
530	Stand	Number of fruits, Bruinsma Wonder=3 (0=zero, 1=very low, ..., 9=very high)
531	Stand	Bruinsma Wonder=3 (0=not pungent, 3=low, 5=intermediate, 7=high, 9=very high)
532	Stand	Bruinsma Wonder=5
533	Stand	Bruinsma Wonder=3
534	Num	(1,2,3,4,5=5,4,3,2,1 weeks before Bruinsma Wonder(=6) 7,8,9=1,3,5 weeks after)
536	State	(0=flattened, 1=very little bubbling, 3=little, 5=intermediate, 7=much, 9=very much bubbled)
538	Stand	(0=white, 1=very light, 3=light, 5=intermediate, 7=dark, 9=very dark purple)
540	cm	Measurement
541	State	(A=purple, B=green, C=white, a-b=both a and b appear on one fruit)
544	State	(A=green, B=purple, C=green and purple)
545	State	Score at 7th leaf stage. (1=yellow-green, 2=grey-green, 3=blue-green)
547	State	Score at 7th leaf stage. (3=horizontal, 5=semi-erect, 7=erect)
548	Perc	Race 4, percentage of resistant plants.
550	Stand	Determined at natural infection (0=no symptoms, .., 9=serious symptoms)
551	Perc	Inoculated with f.sp. conglutinans race 1. Percentage of resistant plants.
554	State	(3=almost horizontal, ..., 7=erect)
555	State	(1=yellow-green, 2=green, 3=blue-green, 4=gray-green)
558	Stand	At harvest time (1= very light, ..., 9= very dark)
561	Date	Record the date when 50% of the tops have fallen (day-month)
562	State	Scored in spring (1=rosette, 5= semi-erect, 9=erect)
564	State	Dry seed (1= white, 2= white dotted, 3= brown, 4= marbled, 5= black, 6= yellow, 7= orange, 8= red, 9= other)
565	Stand	Measure stem length without branches, on a bundle of stems, standards: Mikael=2, Amazone=4, Ariane=8.
567	State	Standard: Laura=5 (1= dehiscent (= fully opened), 5= medium, 9= indehiscent (= fully closed))
569	State	Score at harvest maturity (3= homogeneous, 5= medium, 7= heterogeneous)
572	State	Moment of full maturity boll (1= very early, ..., 9= very late)
574	Stand	Standards: Opaline=3, Liflora=7 (3=small, 5=medium, 7=large)
575	State	Fraction infected plants (1=very low, 5=medium, 9=very high)
577	Perc	Percentage in seed, analysed with NMR.
579	State	Average of several plants (0=no lesions, ..., 5=completely rotted root)
581	Stand	(1= no damage, ..., 9= completely killed)
583	Stand	Natural infection (1=no symptoms, 2=0.5% of leaf area covered, 3=1%, 4=2%, 5=5%, 6=10%, 7=25%, 8=75%, 9=>75%)
585	Stand	Dried seeds, weigh at least 200 seeds. Standards: Opaline = 1, Amazone = 5, Liflora = 9
586	State	1= gherkin, 2= cucumber, 3=slicer
587	State	1= determinate, 2= indeterminate
589	Stand	Score first 15 internodes (3= short, 5= medium,  7= long)
590	Stand	Score at market stage (3= short, 5= medium, 7= long)
592	State	Score at market stage (1= necked, 2=acute, 3=obtuse, 99=other)
594	State	Score ground color at market stage (1= white, 2= yellow, 3= green, 99=other)
596	State	Measure at young fruit stage (1= hairs only, 2= prickles only, 3= hairs and prickles, 4=smooth)
598	Stand	Score at physiological ripening (1= absent, 5= medium, 9= very strong)
601	Stand	1= susceptible (all leaves affected), 5= medium resistant (all but 3 youngest leaves affected), 9= resistant (no damage)
603	Stand	1= susceptible (100% of plants affected), 9= resistant (0% affected)
604	Stand	1= susceptible (100% of plants affected)
606	State	0= no flecking, 1= just few flecks, 2= few leaves with flecks, 3= all leaves with flecks
607	State	Resistance to B. lactucae race 92O47 (R= resistant. S= susceptible. H= heterogeneous)
608	State	Resistance to B. lactucae race 92D53-10 (R= resistant. S= susceptible. H= heterogeneous)
609	State	Resistance to B. lactucae race 93D11 (R= resistant. S= susceptible. H= heterogeneous)
610	State	Resistance to B. lactucae race 93D12 (R= resistant. S= susceptible. H= heterogeneous)
611	State	Resistance to B. lactucae race 93D13 (R= resistant. S= susceptible. H= heterogeneous)
612	State	Resistance to B. lactucae race 93D14 (R= resistant. S= susceptible. H= heterogeneous)
613	cm/cm	Score ratio, length divided by diameter, no decimal. At market stage.
614	Gene	+ = presence of Ml-(41/145)
615	Gene	+ = presence of Ml-(CP)
616	Gene	+ = presence of Ml-(Wo)
621	Gene	+ = presence of Ml-a12
617	Gene	+ = presence of Ml-a14
618	Gene	+ = presence of Ml-a6
619	Gene	+ = presence of Ml-a7
620	Gene	+ = presence of Ml-a8
622	Gene	+ = presence of Ml-a9
623	Gene	+ = presence of Ml-g
