ENR	CNR	ADDR	E_YEAR	E_DESCR
44	13	CGN	1988	Field trial with 35 entries from Sicily (3 replicates, 10 plants per accession) and 15 entries from Crete, Central Greece, France and Ireland as reference. Location de Born, Sown in greenhouse, transplanted 16 May. CV's are in the remark.
43	11	CGN	1987	Sandy soil, cold summer.
45	2	CGN	1987	Sowing date 1-apr-87, harvested 11-aug-87. Very wet year: june 95 mm, july 150 mm. Sandy soil. From about half july most of the plants were completely lodged.
46	2	WIERSU	1987	Location: Dronten. Clay.
47	2	CEBECL	1987	Multiplication in Elst, sandy soil. Not harvested since there was too much Fusarium.
54	13	CGN	1987	Multiplication. Location: de Born. Isolated between screens.
49	1	ZELDER	1987	Location: Ottersum. Sandy soil.
50	1	VDHAVR	1987	Location: Rilland.
51	4	CGN	1986	Multiplication. Location: Born Wageningen. Sandy soil.
52	4	CEBECL	1986	Multiplication. Location: Lelystad. Clay.
53	13	CGN	1987	Multiplication. Location: de Born. Isolated in hemp.
60	9	VDHAVR	1986	Soil: 31% silty, 3.4% humus, pH 7.6, N-stock (0-60 cm):34 kg. Planting date:May 7. Distance between rows (100 cm) and in row (20 cm). Application of herbicide (Stomp 3.5 l/ha) and pesticides (parathion  and Decis flow) against Thrips.
55	13	CGN	1987	Multiplication. Location: de Keijenberg. Isolated in rye.
56	13	CGN	1987	Observations to get a view on the material. Location: de Born.
57	4	WIERSU	1985	Multiplication in a wet year on clay soil.
58	18	CGN	1987	Preliminary evaluation. Location: Born, Wageningen. Wet summer. Distance between rows: 60cm, within rows: 20cm. 50kg N/ha, sowing date 14/4/87.
59	18	CGN	1987	Preliminary evaluation. Location: garden Haeff, Wageningen. Wet summer. Distance between rows: 60cm, within rows: 20cm. 50kg N/ha, sowing date 11/5/87.
66	9	VDHAVR	1987	Planted spring 1987 trail no.68047.
61	9	VDHAVR	1986	Soil: 31% silty, 3.4% humus, pH 7.6, N-stock (0-60 cm):34 kg. Planting date:May 21. Distance between rows (75 cm) and in row (10 cm). Application of herbicide (Stomp 3.5 l/ha) and pesticides (parathion  and Decis flow) against Thrips.
62	9	VDHAVR	1986	Soil: 31% silty, 3.4% humus, pH 7.6, N-stock (0-60 cm):34 kg. Planting date:June 17. Distance between rows (75 cm) and in row (20 cm). Application of herbicide (Stomp 3.5 lCOC) and pesticides (parathion  and Decis flow) against Thrips.
65	9	VDHAVR	1986	Soil: 31% silty, 3.4% humus, pH 7.6, N-stock (0-60 cm):34 kg. Sowing date:April 23. Distance between rows (50 cm). Application of herbicide (Stomp 3.5 lCOC) and pesticides (parathion  and Decis flow) against Thrips.
63	9	CGN	1986	Sandy soils Wageningen. Sowing date: April 24,25.
64	9	RIKILT	1987	Laboratory evaluations of fatty acid composition on Oenothera spp. seeds (see RIKILR RAPP. 87-17).
72	20	CGN	1987	Location: Born Wageningen. Yield multiplication. Sandy soil, row distance 50 cm., total 6 m2. Sowing date :27/4/87,harvested:9/9 and 23/9/87.
67	9	VDHAVR	1987	Planted spring 1987 trail no.68067.
68	6	IVT	1987	Old filed observations.
69	20	CGN	1986	Location: garden De haaff plus one isolated number (868199). Sandy soil, sowing date :24/4/86,harvested:15/8,25/8,10/9and 23/9/86.
70	20	CGN	1987	Location: Keyenberg Renkum in isolations. Sandy soil, row distance 50 cm, sowing date 9/4/87, harvested 2/9 and 15/9/87
71	20	CGN	1987	Location: garden De haaff, Wageningen. Yield multiplication. Sandy soil, row distance 50 cm., total 24 m2. Sowing date :15/4/87,harvested:28/8/87.
77	12	NICZWA	1986	Location: Tuitjehorn. Clay, dry year.
86	12	CGN	1985	Location: Wageningen. Sandy soil, wet year.
73	12	CEBECL	1985	Location: Lelystad. Clay, wet year.
74	12	CGN	1986	Location: Wageningen. Sandy soil, dry year.
75	12	VDHAVR	1986	Location: Rilland. Clay, dry year.
76	12	NUNHEM	1986	Location: Healen. Sandy clay, dry year.
83	12	BARENO	1987	Location: Wolfheze. Sandy soil, wet year.
78	12	CEBECL	1986	Location: Lelystad. Clay, dry year.
79	12	BARENO	1986	Location: Wolfheze. Sandy soil, dry year.
80	12	CGN	1987	Location: Wageningen. Sandy soil, wet year.
81	12	CEBECL	1987	Location: Lelystad. Clay, wet year.
82	12	NUNHEM	1987	Location: Haelen. Sandy clay, wet year.
90	8	ZEASEL	1987	Location : New Zealand
84	12	NICZWA	1987	Location: Tuitjehorn. Clay, wet year.
85	12	VDHAVR	1987	Location: Rilland. Clay, wet year.
87	8	CGN	1987	Sowing date: 23/4/87, after sowing covered with plastic, removed at 22/6/87. Harvested 26&27/10/87. It was a very wet year, in july about 150 mm. rain. Location: Renkum, sandy soil.
88	8	ZELDER	1987	Location : France
89	8	VDHAVR	1987	Location : France. Sowing date: 4/5/87. Density: 75000 pl/ha.
96	2	SVP	1964	Data from a very old field book, gathered by Frans Dotinga for his survey in 1987. A multiplication on the Born.
91	6	IVT	1987	Cos lettuce. Sowing date: 17/3, planting date: 22/4. Plant distance: 30x30cm. 40 plants per object. Location: IVT, Wageningen.
92	7	MODPSE	1987	Laboratory evaluations of fatty acid composition on 107 Ethiopian Brassica carinata accessions.
93	9	RIKILT	1987	Laboratory evaluations of fatty acid composition on Oenothera spp. seeds grown in Zeeland (See RIKILR RAPP. 87-17,nrs. 60-64).     OC
94	6	IVT	1988	50 Latin lettuce. 8 Cos lettuce. 19 duplicates. 24 reference varieties. Field trial. sowing date : 15/3. planting date 26/4. plant distance 0.30x0.30 m.. 40-48 plants per object. IVT grounds. Wageningen.
95	1	LHIVP	1986	Soil: clay. Sowing date: 9/4/86. Trial field of IvP, near IvP.
102	2	CGN	1988	Sowing date 7-apr-88, harvested 1, 2 and 3 aug-88. Sandy soil. Dry and sunny spring and summer.
97	2	SVP	1975	Data from an old field book, gathered by Frans Dotinga for his survey in 1987. A multiplication on the Born.
98	7	IVT	1985	White cabbage, summer and autumn types. Field trial. Sowing date: 13/3/85, planting date: 13/5/85. Plant distance: 65x65cm. Number of plants per object : 48 (2x24). Location: IVT ground, Wageningen.
99	7	IVT	1985	Savoy cabbage, autumn and winter types. Field trial. Sowing date: 24/5/85, planting date: 24/6/85. Plant distance: 60x60cm. Number of plants per object : 32 or 48. Location: IVT ground, Wageningen.
100	7	IVT	1986	Early white (45) and early red (10) cabbage. Field trial. Sowing date: 27/2/86, planting date: 22/4/86. Plant distance: 50x50cm. Number of plants per object : 8 or 32. Location: IVT ground, Wageningen.
101	7	IVT	1986	White (116) and red (38) cabbage, summer, autumn and winter types. Field trial. Sowing date: 12/3/86, planting date: 29/4/86. Plant distance: 65x65 cm. Number of plants per object : 12 or 30. Location: IVT ground, Wageningen.
108	1	CEBECL	1988	Location: Elst. Sandy soil.
103	2	WIERSU	1988	Location: Dronten. Clay. Sowing date 13-apr-88.
104	2	CGN	1988	Sowing date 27-oct-87. Sandy soil. Mild winter and dry and sunny spring and summer.
105	1	VDHAVR	1988	
106	1	ZELDER	1988	Location: Ottersum. Sandy soil. Sowing date 12-apr-88. Harvested 15-aug-88.
107	1	SEMUND	1988	Location: Ulrum. Heavy sandy clay.
114	11	SUIKER	1987	Laboratory evaluations on tubers.
109	1	GEERTS	1988	Location: Emmeloord. Sowing date 13-apr-88, harvested 9 and 15 sept-88. Calcareous clay.
110	1	CGN	1988	Sowing date 27-oct-87. Sandy soil. Mild winter and dry and sunny spring and summer.
111	11	CGN	1988	
112	1	SVP	1988	Screening for brown rust resistance using two isolates (Felix and Clement). The scores are averages of the two trials. Sandy soil. (Born)
113	11	SUIKER	1986	Laboratory evaluations on tubers.
120	6	CGN	1987	Multiplication in greenhouse, no artificial light, 3 treatm.:53 day vernalisation germinated seeds (sow:13/2,plant:21/4,temp:1C), foliar gibberellin sprays 25ppm + wetter (sow:24/3,plant:21/4,spr:7/5), vernal seeds in pots with specific soi
115	11	SUIKER	1988	Laboratory evaluations on tubers.
116	6	CGN	1988	Multiplication in greenhouse, no artificial light. Three treatm: no treatment (sow.date:21/3), 48 day vernalisation germinated seeds (sd:9/2, temp:.5C) and foliar gibberellin sprays 20 ppm with wetter (sd:21/3,spr:9/5). Planting date:22/4.
117	18	CGN	1988	SVPcode: MD8807. Location: Born. Soil: sand. Fertilizer: 50kg.N/ha. Sowing date: 9/5. Field: gross 2x4m2, nett 1x3m2, row distance 50cm, ca.10 plants/m2, 3 replicates.
118	18	CGN	1988	SVPcode: MD8806. Location: Born. Soil: sand. Fertilizer: 50kg.N/ha. Sowing date: 9/5. Field: gross 4x8m2, nett 3x6m2, row distance 50cm, ca.10 plants/m2, 3 replicates.
119	19	CGN	1988	SVPcode: MD8808. Location: south garden de Haaff. Soil: sand. Fertilizer: 50kg.N/ha. Sowing date: 11/4. Field: 1x1.2m2, row distance 25cm, ca.150 seeds/m2, 1 or 2 replcates. Some genotypes showed poor emergence due to dry soil around sowing
126	13	CGN	1989	Flat small greenhouse SVP (platte bak)
121	13	CGN	1988	Multiplication. Isolated in hemp. Location: de Born Wageningen (lot 6-3).
122	13	CGN	1988	Multiplication. Isolated using screens. Location: de Born Wageningen.
123	13	CGN	1988	Multiplication. Isolated in rye. Location: de Keyenberg Wageningen.
124	6	CGN	1984	Combination of two IVT experiments. Sowing: 30/10, harvest: 4/2-15/2. Measurements with an autoanalyzer of resp. leaves and above ground matter. Range resp 1250-5050 and 1730-6360 mg NO3/kg fresh weight (Euphytica 36:11-18)
125	13	CGN	1989	Greenhouse of SVP
132	12	NUNHEM	1988	Location: Haelen. Loss
127	8	VDHAVR	1988	Location: France. Sowing date 24 may-88, harvested 4 nov-88.
128	8	VDHAVR	1988	
129	8	ZELDER	1988	Location: France.
130	8	CEBECL	1988	Location: Vlijmen.
131	12	CGN	1988	Sown at different places in Wageningen, sandy soil.
138	4	CEBECL	1988	
133	12	NICZWA	1988	Location: Tuitjehorn. Clay, normal year.
134	12	TSSEED	1988	Location: Hendrik Ido Ambacht. Clay.
135	12	CEBECL	1988	Location: Lelystad. Clay.
136	12	BARENO	1988	Location: Wolfheze. Sandy soil.
137	4	CGN	1988	Sowed at the Born in Wageningen, sand. Sowing date 21/4/88
144	16	NICZWA	1985	Screening of Spinach for nitrate content. Sowing date 5/2/85. Harvest date 12/3/85 and 14/3/85. Temp. 15/10 oC. day/night. 13 plants/5l. pot. Alpha design, 3 replicates, 14 miniblocks. Researcher: W.D. Meysing.
139	4	NUNHEM	1988	Sowing date 29/4/88
140	17	IVT	1984	Leek characterization and evaluation. Sowing date 14/4/84, planting date 17/7/84. Averages of 10 plants.
141	17	IVT	1983	Onion characterization and evaluation. Sowing date 25/4/84, harvested in 9/84, bulbs planted 11/4/84.
142	4	CGN	1989	
307	17	CPRO	1992	Leek field trial. Sowing date 14/4, planting date 1/7. Plant distance 12x5, depth 12 cm, 50 plants per accession. Location: de Goor. 11 reference varieties.
308	17	CPRO	1993	Leek field trial. Sowing date 14/4, planting date 7/7. Plant distance 12x5, depth 12 cm, 50 plants per accession. Location: de Goor. 22 reference varieties.
143	6	IVT	1989	Morphological description of L.virosa, L.saligna and L.serriola. Sowing date 16/12/88. Seeds of L.saligna and L.virosa were vernalized at 1oC. Planting date:7/2/89. Temperature: min. 15/10 oC. day/night. 6 or 10 plants per accession.
145	16	NICZWA	1985	Screening of Spinach for nitrate content. Sowing date 6/11/85. Harvest date 19/12/85. Temp. 15/10 oC. day/night. 13 plants/5l. pot. Alpha design, 3 replicates, 14 miniblocks. Researcher: W.D. Meysing.
146	16	NICZWA	1986	Screening of Spinach for nitrate content. Sowing date 14/11/86. Harvest date 12/1/87. 13 plants/5l. pot. Randomized block design, 3 replicates. Researcher: W.D. Meysing.
147	16	IVT	1987	Screening of Spinach for nitrate content. Sowing date 15/1/87. Harvest date 2/3/87 and 3/3/87. 15-20 plants per plot in fytotron. Temperature: 14/10 oC. day/night. Analysis of dried plants. Researcher: K.Reinink.
148	6	CGN	1986	Lettuce multiplication. Glashouse temp 15-18oC, without artificial light. Two treatments: - with vernalisation germinated seeds, sowing date : 14/2, planting date : 1/5, - with foliar gibberellin sprays 25 ppm, sow.date:1/4, plant date 1/5.
149	6	CGN	1981	Lettuce multiplication. Glashouse without artificial light. Two treatments: - no special treatment, sowing date : 23/3, planting date : 22/4, - with foliar gibberellin sprays 10 ppm, sow.date: 24/3, plant date 22/4.
150	6	CGN	1982	Lettuce multiplication. Glashouse without artificial light. Two treatments: - no special treatment, sowing date : 8/3, planting date : 6/4, - with foliar gibberellin sprays 10 ppm, sow.date: 8/3, plant date 6/4.
151	6	CGN	1985	Multipl. Glashouse 15-18oC, no artificial light. 4 treatm.:-no treat, sow.d.:27/3, plan.d.:22/4, - vernalisation germinated seeds, s.date:7/2, pl.date:22/4, -foliar gibberellin 25 ppm, s.d.:27/3, pl.d.:22/4, -in pots, s.d.:27/3, pl.d.:17/4.
152	6	CGN	1989	Field trail. sowing date 14/3. planting date 26/4. plant distance 30*30cm. 40 plants per object. location IVT. 13 Reference varieties. 40 Cos. 80 Cutting. 18 Stalk. 19 Butterhead. 11 Crisp. 5 Latin. 1 Oil.
153	7	CGN	1989	Borecole, marrow stem kale, unspecified kale, wild species, thousand headed kale and perennial kale. Field trail. Sowing date 21/6/89, planting date 18/7/89, planting distance 65*50 cm. 44 Plants per object. IVT grounds Wageningen.
154	13	CGN	1989	Isolations in hemp, location the Born.
155	13	CGN	1989	Isolated with screens, location the Born.
156	13	CGN	1989	In greenhouses at the Haeff.
157	13	CGN	1989	A taxonomical evaluation in cooperation with LU Wageningen, Location de Born, 3 replicates of 58 accessions, of which 30 were provided by NEDBEG.
158	13	CGN	1989	A taxonomical evaluation, location Born, four replicates.
159	13	CGN	1989	A taxonomical evaluation, location Born, one replicate.
160	7	CGN	1984	Red cabbage, winter types. Field trail. Sowing date 7/3/84, planting distance 65*65 cm. 36 Plants per object. IVT grounds Wageningen.
161	7	CGN	1989	Cauliflower, summer and autumn types. Field trail. Sowing date 18/5/89, planting date 15/6/89, planting distance 60*70 cm. 30 Plants per object. IVT grounds Wageningen.
162	7	CGN	1984	White cabbage, early types. Field trail. Sowing date 28/2/84, planting date 19/4/84, planting distance 50*50 cm. 32 Plants per object. IVT grounds Wageningen.
163	7	CGN	1987	Brussels sprouts. Field trail. Sowing date 24/3/87, planting date 29/4/87, planting distance 55*70 cm. 30 Plants per object. IVT grounds Wageningen.
164	6	CGN	1989	Multiplication, glass house. Temperature 15-18oC, no artificial light. - no treatment:sowing date 28/3, planting date 26/4, with vernalization germinated seed:sow.d.14/2, plant.d.26/4, with foliar gibber.sprays 20ppm: sow.d.28/3, pl.d. 26/4
165	2	CGN	1989	Sowing date 28-3-89, harvested 26, 27 and 28-7-89. Sandy soil. Sunny spring and summer.
166	2	WIERSU	1989	Location: Dronten. Clay.
167	2	CGN	1989	Multiplication in Randwijk. Sowing date 18-10-88, harvested 17-7-89.
168	1	CEBECL	1989	Location: Elst. Sandy soil.
169	1	ZELDER	1989	Location: Ottersum. Sandy soil.
170	1	SEMUND	1989	Location: Ulrum.
171	1	GEERTS	1989	Location: Emmeloord. Calcareous clay.
172	1	VDHAVR	1989	Location: Rilland.
173	8	CGN	1989	Sowing date: 25-4-89, after sowing covered with plastic (3-5-89). Harvested several days in the month octobre. In may it was very dry (4,7mm rain in the whole month) so there is rained on.
174	8	CEBECL	1989	Location: Vlijmen. Dry year.
175	8	VDHAVR	1989	Location: France.
176	8	ZELDER	1989	Location: France.
177	8	ZEASEL	1989	Location: New Zealand.
178	4	CGN	1987	
179	4	CGN	1989	
180	12	CGN	1989	Location: Oude Tol, Beek Noord, Keyenberg and Renkum. Sandy soil.
181	12	TSSEED	1989	Location: Hendik Ido Ambacht, Clay.
182	12	BARENO	1989	Location: Wolfheze. Sandy soil.
183	12	NICZWA	1989	Location: Tuitjehorn. Clay.
184	12	CEBECL	1989	Location: Lelystad. Clay.
185	13	CGN	1989	Test for Beet Cyst Nematode tolerance. 4 replicates, 16 plants per replicate. Stand.dev.=4.44. Standard variety Monohill = 46.5, min=0, max=124 cysts/plant.
186	13	CGN	1989	Test for Beet Cyst Nematode tolerance. 15 to 47 plants per accession. Standard Monohill = 52.9, min=0, max=98 cysts/plant.
187	13	SVP	1989	Rhizomania test performed by Harry Paul. 3 Replicates, 6 plants per replicate. Standards Rima (mean=40, range=6-409) and Regina (mean=311, range=3-616). Scale: ng purified virus/ml.
188	13	KLEINW	1989	Rhizomania test in greenhouse. Tolerant standard Rizor: rel. extinction 74.2 (standard A=100). 4 Replicates, between 1.5 and 10.3 plants per replicate.
189	6	CGN	1990	Field trial. sowing date 15/3. planting date 25/4. plant distance 30x30 cm. 40 plants per object. Location: IVT. 22 Reference varieties. 14 Cos. 18 Cutting. 1 Stalk. 122 Butterhead. 9 Crisp and 6 Latin Lettuce.
190	7	CGN	1990	Cauliflower, spring and summer types. Location: IVT-grounds, Wageningen. Sowing date: 20-02-90, planting date: 18-04-90. Planting distance: 60x60. Number of plants per object: 30. Numbers in trial very heterogeneous due to very dry spring.
191	17	CGN	1990	Field trail. Mainly longday, some shortday unions. Sowing date : 8/3/90, planting date : 3/5/90. Planting distance 8x40cm. 140 plants per object. Transplanted in peat pots, making bulbshape more flat. IVT grounds, Wageningen.
192	8	CGN	1990	Multiplication. Location: Renkum, sandy soil. Sowing date: 26/4, harvested: 9, 10, 11 & 16 october. Ca. 100 plants per object.
193	13	CGN	1990	Evaluation for Heterodera schachtii. 29-47 plants per accession. Standard Monohill with average 60.9, min 38 and max 102 cysts per plant.
194	13	CGN	1990	Evaluation for Heterodera schachtii, in 4 replicates, 16 plants per replicate. Standard error=3.64. Standard Monohill with average 59.88, min 20 and max 94 cysts per plant.
195	13	CGN	1990	Evaluation for Heterodera schachtii, in 3 replicates, 16 plants per replicate. Standard Monohill with average 55.47, min 19 and max 107 cysts per plant.
196	2	CGN	1990	Evaluation of Ethiopian barleys for mildew at six locations (WIERSU, SEMUND (2x), CEBECL, VDHAVE, ZELDER) and some other characteristics.
197	13	CGN	1991	Screening for Heterodera schachtii tolerance in 4 replicates, 16 plants/replication. Standard check: Monohill average=55.0 min=9 max=113 cysts/plant.
198	13	CGN	1990	Multiplication at different CPO locations. Several kinds of isolations. Usually 50 plants per object, sometimes much less (min=6).
199	7	CGN	1990	Field trail, red and white cabbage. Sowing date : 29-3, planting date 9-5, planting distance 65x65cm., 88 plants per object. Location CPO grounds, Wageningen.
200	7	CGN	1990	Kailan, multiplication in isolation rooms in a glashouse, sowing date 18-5, planting date (in pots) 20-6, 80 plants per object, location CPO grounds, Wageningen.
201	6	CGN	1990	Multiplication in greenhouse, no artificial light. 3 treatments: none, sowing date 22-3, with vernalisation germinated seeds, sow dat 15-2, with foliar gibberellin sprays 20ppm, sow dat 22-3, planting date 1-5, temp 15-18oC, dist. 30x30cm.
202	13	DIECKM	1989	Field trail in main disease area, location San Stino, Italy. Scored on 31-7. Turbo: 5, susceptible standard: 7. Plots 8m2, 2 replications.
203	13	DIECKM	1990	Trial nr. 90/5/55, 36 plants per accession, tested in infested soil. Kawemono: 1.14, part.resistant standard Rizor: 0.96. Location: Gross Gerau, FRG. Partial resistant plants are indicated by a 'r' in the remark as is the population st.dev.
204	16	BEJO	1990	Test on resistance to Peronospora farinosa f. spinaceae race 2. Usualy 50 plants per object.
205	16	NUNHEM	1989	Test on resistance to Peronospora farinosa f. spinaceae race 1, 2 and 3 in 1990, 89 and 89 resp., in glasshouse, 32 plants/object. Seedlings inoculated with 60000 spores/ml, 15 days after sow. 2 days aft.inoc. & 2 bef.assess.(day14) RH:100%
206	16	NUNHEM	1989	Field trail, sowing date 4/4/89, planting date 2/5/89, planting distance 30x35 cm, 80 plants per object, NUNHEM grounds.
207	7	IVT	1983	Field trail, Brussels Sprouts, IVT grounds. Sowing date 15/4/83, planting date 2/6/83, planting distance 70x55, 40 plants per object.
208	6	IVT	1987	Screening for resist. to potato aphid by K.Reinink. Seedsamples tested differed from CGNacces. Glassh., 20oC, 16h light, suppl.light with SON_T, 6 leafcages each 3 larvae (<24h.old) attached to abaxial leafside, 1 pl. per 1,35l pot, 2 repl.
209	6	IVT	1989	Test for brown let.aphid resist. by K.Reinink. Seed samples differ from CGNacces. Glassh. 20oC min. dayl.16h, SON_T if ness., 6 leafcages with each 3 larvae (<24h.old) attached to the abaxial side of leaves. 1 pl. per 1,35l pot, 2 repl.
210	6	IVT	1988	Test potato aphid resist. by K.Reinink. Samples tested differ from CGNacces. Glassh. 20oC min. daylength 16h, SON_T if ness., 6 leafcages with each 3 larvae (<24h.old) attached to the abaxial side of leaves. 1 plant per 1,35l pot, 2 repl.
211	6	NVRS	1980	Test potato aphid + lettuce aphid resist. Samples tested differ from CGNacces. Plants raised aphid free, planted in field 50x50cm., 4 repl. Natural aphid attack of July peak, sequential sampling of aphids per plant. Tests in several years.
212	6	NVRS	1980	Test lettuce root aphid resist. Samples tested differ from CGN acces. Seedl. unif. vigor in 5cm pots, 19oC, mercury vapor, add. light to 16h. Inoc.: 2 weeks aft. potting, 1 newly mature virginoparous aphid /pl. on roots. Scored 2 w. later.
213	7	HANIAG	1989	Screening for susceptibility to clubroot. Glasshouse, 16h. light, sterilized soil of 23oC, inoc. 10 7 resting spores/plant, 2 isolates from B.rapa from different areas of FRG. 1st week high hum, 35 plants/acc., scored 7 weeks after inoc.
214	12	CGN	1990	Multiplication in isolations. Location South Beek and Renkum, sandy soil.
215	12	CGN	1990	Multiplication in isolations. Location East Flovoland, clay soil.
216	12	JOORDE	1990	Multiplication in isolations. Location Kessel, sandy soil.
217	12	CEBECL	1990	Multiplication in isolations. Location Lelystad, clay.
218	12	TSSEED	1990	Multiplications in isolation. Location Hendrik Ido Ambacht, clay soil.
219	12	NICZWA	1990	Multiplications in isolation. Location Tuitjenhorn, clay soil.
220	12	NUNHEM	1990	Multiplications in isolation. Location Haelen, sandy soil.
221	6	CGN	1991	Field trail. sowing date 15/3. planting date 16/4. planting distance 30x30cm.. 40 plants per object. Location IVT. 23 Reference varieties. 112 butterhead. 4 crisp. 9 latin. 17 cos. 10 cutting lettuce and 2 stalk lettuce.
222	17	CPRO	1991	Field trail. Mainly short day onions. Sowing date 28-1-91, Planting date 10-4-91. Planting distance 8x40 cm, 140 plants per object. Bulbs harvested 9-9-91. Transplanted in peat pots making bulbs more flat. Location de Goor, Wageningen.
223	1	CGN	1991	Multiplication of winter wheat.
224	1	CGN	1991	Multiplication of spring wheat.
225	2	CGN	1991	Multiplication of winter barley.
226	2	CGN	1991	Multiplication of spring barley.
227	7	CPRO	1991	Field trail several cabbages and kales, rnr 900437 & anr 7029: sowing date 7/3/91, planting date 25/4, distance 60x60cm; rest of objects: sowing date 20/6, planting date 23/7, distance 50x75cm. Location de Goor, Wageningen.
228	7	ZAADUN	1990	Screening of B.nigra for tolerance to Phoma by P.Tjeertes. Sowing date:1/8, inoc.date:21/8, scor.:12/9. 20 pla/acc. Isolate from Witterswil (Swiss) conc. 5E6 sp/ml. Inoc.method: injecting 1 drop in stem near cotyledons in 3-4th leaf stage.
229	13	DIECKM	1989	Trial nr. 89/5/60. ELISA means. 42 plants per accession tested in infested soil according to Buercky and Buettner (1985). Kawemono: 1.48, Rizor= 1.18 (tolerant standard). Standard deviation of the population is indicated in the remark.
230	13	DIECKM	1989	Trial nr. 89/5/63. ELISA means. 48 plants per accession tested in infested soil according to Buercky and Buettner (1985). Kawemono: 1.28, Rizor: 0.81 (tolerant standard). Standard deviation of the population is indicated in the remark.
231	13	CGN	1991	Seed increase 1991, mainly isolations in hemp and rye. Location Wageningen and Renkum.
232	13	CGN	1991	Field trail with 2 replications and 10 plants per replication. Material sown in greenhouse and transplanted to the field in May. Location de Goor (IVT).
233	13	KLEINW	1990	Rhizomania test in greenhouse. Highly resistant standard: 0.4, medium resist.: 1.8, susceptible standard: 2.1, LSD5%: 0.6. 4 replications, 10 plants/repl.
234	6	CPRO	1991	Multiplication in glasshouse. Temp: 15-18oC, no artificial light. No treatment: sowing date 27/3, planting date 23/4. Vernalized germinated seeds: sowing 11/2, planting 23/4. With foliar gibber. spray 30ppm: sowing 27/3, planting 23/4.
235	16	TSSEED	1991	Screening for resistance against Peronospora. Researcher: J. den Braber. Inoculation 11 days after sowing.
236	6	CPRO	1989	Tests with 14 NL and 6 Czechoslovakian races. 20 Seedling or 5 leaf discs on moistened filter paper. Inoc.5E4 sp/ml. Temp 15oC. Scored after 8-12d. Accessions heterogeneous to NL1 or NL3: only resistant plants were scored for other races. R
237	6	LEBEDA	1988	Estimation of attack by powdery mildew after natural infection in the flowering stage in the glasshouse.
238	37	IVT	1977	Sowing date = March 23, planting date = April 28, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 1-187, experimentists H. Roelofsen and G. Pet, standard = Sonatine (F1).
239	37	IVT	1978	Sowing date = March 22, Planting date = April 28, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 188-359, experimentists H. Roelofsen and G. Pet, standard is Sonatine (F1).
